"Lect_vs_Lect","Distance"
"A'ou vs. Komi-Zyrian",5.42629038715412
"A'ou vs. Konda-Dora",5.31536818330282
"A'ou vs. Konkan Marathi",5.48815992367395
"A'ou vs. Korean",3.28998914400362
"A'ou vs. Korku",5.27612677083157
"A'ou vs. Korra Koraga",5.31984395526197
"A'ou vs. Koryak",5.03931660692401
"A'ou vs. Kotia-Adivasi Oriya-Desiya",5.17747987889077
"A'ou vs. Kucong",1.07801589251845
"A'ou vs. Kui (India)",5.29135534075929
"A'ou vs. Kumaoni",4.57467909998542
"A'ou vs. Kumarbhag Paharia",5.87447369284408
"A'ou vs. Kumyk",5.60591013912906
"A'ou vs. Kurtokha",2.4003476795397
"A'ou vs. Kuy",3.17281812231005
"A'ou vs. Kyerung",4.54351442560642
"A'ou vs. Lachi",1.7895602026306
"A'ou vs. Ladino",3.11706690694928
"A'ou vs. Lahu",2.2109679829391
"A'ou vs. Lak",5.71253600995963
"A'ou vs. Lakkia",1.56760406523998
"A'ou vs. Lambadi",5.34162450119902
"A'ou vs. Lamjung-Melamchi Yolmo",4.61028152235428
"A'ou vs. Lao",2.42800035004554
"A'ou vs. Lashi",1.32697620421121
"A'ou vs. Laven",3.92007035529276
"A'ou vs. Laz",5.9745238894788
"A'ou vs. Leh Ladakhi",5.59061336655775
"A'ou vs. Lepcha",5.00199658639568
"A'ou vs. Lhomi",4.67612305458086
"A'ou vs. Liangmai Naga",2.27244259930115
"A'ou vs. Limbu",5.30515626287956
"A'ou vs. Lisu",2.62541936684649
"A'ou vs. Longchuan Achang",1.5259906824944
"A'ou vs. Macedonian",5.75323434778668
"A'ou vs. Maithili",3.49410133003457
"A'ou vs. Malacca-Batavia Portuguese Creole",3.29059178259972
"A'ou vs. Malavedan",5.12443130203771
"A'ou vs. Malayalam",4.02732202209497
"A'ou vs. Manchu",2.8129526300754
"A'ou vs. Mandarin Chinese",2.02726432879421
"A'ou vs. Mang",0.956723713509488
"A'ou vs. Mangghuer",5.48741856516308
"A'ou vs. Manipuri",4.9414309960815
"A'ou vs. Mao Naga",2.23920687935746
"A'ou vs. Maonan",4.78605778746772
"A'ou vs. Maram Naga",4.7993565604965
"A'ou vs. Marathi",3.3380787526388
"A'ou vs. Marwari (India)",4.58047788163693
"A'ou vs. Mewati",5.13643349515621
"A'ou vs. Milang",2.20887837230964
"A'ou vs. Min Bei Chinese",0.925923829248199
"A'ou vs. Min Nan Chinese",1.41402671925978
"A'ou vs. Miyako",2.94770014601563
"A'ou vs. Mlabri",3.56653411941595
"A'ou vs. Modern Greek",3.47979426966211
"A'ou vs. Moken",3.24777948813
"A'ou vs. Mon",3.13158878846391
"A'ou vs. Mongghul",3.03174449085445
"A'ou vs. Moyon",4.61907831125802
"A'ou vs. Muduga",5.14822480075262
"A'ou vs. Mulam",2.52785184551799
"A'ou vs. Mundari",3.22740122084994
"A'ou vs. Nanai",2.27213185172904
"A'ou vs. Narua",2.95938093785839
"A'ou vs. Naukan Yupik",5.12222344777432
"A'ou vs. Negidal",3.37804971710508
"A'ou vs. Neo-Mandaic",4.82071197031579
"A'ou vs. Nepali",5.87488530878949
"A'ou vs. Nganasan",3.32323533607941
"A'ou vs. Nihali",5.57082115854728
"A'ou vs. Nimadi",4.07288110209478
"A'ou vs. Nocte Naga",4.9089750569513
"A'ou vs. North Azerbaijani",5.72492406320987
"A'ou vs. North-Central Dargwa",5.65429904500201
"A'ou vs. Northeastern Thai",2.42694687069746
"A'ou vs. Northern Jinghpaw",2.0702467482416
"A'ou vs. Northern Pashto",4.27268731095799
"A'ou vs. Northern Pinghua",1.51090429195099
"A'ou vs. Northern Pumi",3.86678158407908
"A'ou vs. Northern Thai",2.59586809269743
"A'ou vs. Northern Yukaghir",5.17629949952403
"A'ou vs. Northwestern Kolami",5.68284071671585
"A'ou vs. Nung (Myanmar)",1.70231163328035
"A'ou vs. Nuristani Kalasha",5.33040543740037
"A'ou vs. Nyahkur",3.63838831244599
"A'ou vs. Odia",2.68475148239296
"A'ou vs. Oki-No-Erabu",3.0718465443402
