Lect_vs_Lect,Distance
A'ou vs. Kotia-Adivasi Oriya-Desiya,5.17398967333136
A'ou vs. Kucong,1.07813346930855
A'ou vs. Kui (India),5.28801948812017
A'ou vs. Kumaoni,4.57099696513999
A'ou vs. Kumarbhag Paharia,5.87139257885351
A'ou vs. Kumyk,5.60269388380698
A'ou vs. Kurtokha,2.39956136034584
A'ou vs. Kuy,3.16710185974843
A'ou vs. Kyerung,4.5433641695196
A'ou vs. Lachi,1.7896078811895
A'ou vs. Ladino,3.1113382945319
A'ou vs. Lahu,2.21040883584527
A'ou vs. Lak,5.7093733159885
A'ou vs. Lakkia,1.56740735343301
A'ou vs. Lambadi,5.33838593741886
A'ou vs. Lamjung-Melamchi Yolmo,4.6098823262968
A'ou vs. Lao,2.42797379004283
A'ou vs. Lashi,1.3270687620736
A'ou vs. Laven,3.91596976446439
A'ou vs. Laz,5.97196264145673
A'ou vs. Leh Ladakhi,5.58758848764367
A'ou vs. Lepcha,5.00188679525067
A'ou vs. Lhomi,4.67571725937674
A'ou vs. Liangmai Naga,2.27240449297413
A'ou vs. Limbu,5.30191454415943
A'ou vs. Lisu,2.62551511009277
A'ou vs. Longchuan Achang,1.52624634747723
A'ou vs. Macedonian,5.7503885197517
A'ou vs. Maithili,3.48904705151267
A'ou vs. Malacca-Batavia Portuguese Creole,3.28511484309231
A'ou vs. Malavedan,5.12093119329888
A'ou vs. Malayalam,4.02306534573558
A'ou vs. Manchu,2.80653837880666
A'ou vs. Mandarin Chinese,2.02735959614703
A'ou vs. Mang,0.956763336847115
A'ou vs. Mangghuer,5.48440861812645
A'ou vs. Manipuri,4.94024973516937
A'ou vs. Mao Naga,2.23923540081217
A'ou vs. Maonan,4.78584169449152
A'ou vs. Maram Naga,4.79908366744697
A'ou vs. Marathi,3.33264897674595
A'ou vs. Marwari (India),4.58043271528146
A'ou vs. Mewati,5.40511660134375
A'ou vs. Milang,2.20828436127489
A'ou vs. Min Bei Chinese,0.925305084396669
A'ou vs. Min Nan Chinese,1.41275837123723
A'ou vs. Miyako,2.94583114686293
A'ou vs. Mlabri,3.56195019543645
A'ou vs. Modern Greek,3.47490493881443
A'ou vs. Moken,3.2421996255867
A'ou vs. Mon,3.12583573630561
A'ou vs. Mongghul,3.02603283251035
A'ou vs. Moyon,4.61868039291331
A'ou vs. Muduga,5.14474720222833
A'ou vs. Mulam,2.52745337960523
A'ou vs. Mundari,3.22179855200283
A'ou vs. Nanai,2.26415388141806
A'ou vs. Narua,2.95940258650898
A'ou vs. Naukan Yupik,5.11870720232708
A'ou vs. Negidal,3.37270604975378
A'ou vs. Neo-Mandaic,4.81725082766229
A'ou vs. Nepali,5.87203477741616
A'ou vs. Nganasan,3.31782435120312
A'ou vs. Nihali,5.56781119270062
A'ou vs. Nimadi,4.06860467927066
A'ou vs. Nocte Naga,4.9091448286916
A'ou vs. North Azerbaijani,5.72176596134762
A'ou vs. North-Central Dargwa,5.65110654699427
A'ou vs. Northeastern Thai,2.42669561113158
A'ou vs. Northern Jinghpaw,2.07015463651757
A'ou vs. Northern Pashto,4.26878779797266
A'ou vs. Northern Pinghua,1.50880491005287
A'ou vs. Northern Pumi,3.86712895098767
A'ou vs. Northern Thai,2.59573824679316
A'ou vs. Northern Yukaghir,5.17281024467795
A'ou vs. Northwestern Kolami,5.67966759636157
A'ou vs. Nung (Myanmar),1.70242459994636
A'ou vs. Nuristani Kalasha,5.32709792240036
A'ou vs. Nyahkur,3.63367581692649
A'ou vs. Odia,2.67802566815548
A'ou vs. Oki-No-Erabu,3.06993387173016
A'ou vs. Oroch,2.53393260631936
A'ou vs. Ostfränkisch,7.40111140243917
A'ou vs. Pa-Hng,4.61018400441549
A'ou vs. Pacoh,3.13936178957326
A'ou vs. Paite Chin,1.30585431689254
A'ou vs. Pela,1.99846174921142
A'ou vs. Peripheral Mongolian,3.66528627549347
A'ou vs. Phom Naga,2.24640510870563
A'ou vs. Piemontese,5.77647183024059
A'ou vs. Pite Saami,4.06936373311594
A'ou vs. Pnar,3.96658198982124
A'ou vs. Pontic,5.54962699270187
A'ou vs. Portuguese,3.28559538481761
A'ou vs. Pu-Xian Chinese,1.59971500739079
A'ou vs. Purik-Sham-Nubra,5.92941737526174
A'ou vs. Pwo Eastern Karen,2.7825732220965
A'ou vs. Rabha,2.29548045878492
A'ou vs. Rajbanshi,2.90635800838093
A'ou vs. Ravula,5.09417161644857
A'ou vs. Russia Buriat,3.12585781332453
A'ou vs. Russian,5.44938856423453
A'ou vs. Rutul,5.60457374654222
A'ou vs. Sadri,5.28242087899667
A'ou vs. Sadu,2.08267752392812
A'ou vs. Sakha,3.40557404376432
A'ou vs. Sangkong,2.28670934660227
A'ou vs. Sani,4.64818707398725
A'ou vs. Santali,2.94243738005555
A'ou vs. Saurashtra,5.46938515800388
A'ou vs. Sedang,3.49612074941036
A'ou vs. Selkup,5.02643886862165
A'ou vs. Semelai,5.00493662532503
A'ou vs. Shixing,1.25992634231602
A'ou vs. Sholaga,5.2610709093487
A'ou vs. Sichuan Yi,5.05523977899941
A'ou vs. Sikkimese,2.63533307155586
A'ou vs. Sindhi,5.23807058240166
A'ou vs. Sinhala,2.9232748373023
A'ou vs. Situ,5.97332126784209
A'ou vs. Solu-Khumbu Sherpa,4.52991147025603
A'ou vs. Sora,3.24370012104089
A'ou vs. South Azerbaijani,5.07994693226515
A'ou vs. South Wa,2.87008266313458
A'ou vs. Southeast Pashayi,2.71508572068584
A'ou vs. Southern Altai,5.14015084084316
A'ou vs. Southern Amami-Oshima,3.26339670770205
A'ou vs. Southern Jinghpaw,2.44568168691231
A'ou vs. Southern Pashto,4.07235665101661
A'ou vs. Southern Pumi,1.39652802778198
A'ou vs. Southern Qiang,0.838670487979264
A'ou vs. Southern Rengma Naga,2.1714356990389
A'ou vs. Southern Yukaghir,5.2075248552783
A'ou vs. Southwestern Dargwa,5.6995357135737
A'ou vs. Sri Lanka Malay,5.20347112108526
A'ou vs. Standard Malay,5.01988804136624
A'ou vs. Stau-Dgebshes,3.78394469509859
A'ou vs. Sui,2.19197523146511
A'ou vs. Sunwar,3.29732931832403
A'ou vs. Tai Do-Mene-Yo,2.51976011092168
A'ou vs. Tamil,3.799026979946
A'ou vs. Tangam,5.16786551163726
A'ou vs. Tatar,5.22706343411804
A'ou vs. Thado Chin,1.8899617938069
A'ou vs. Thai,2.48422732483571
A'ou vs. Thakali,4.58893998875564
A'ou vs. Thangmi,3.19787406926505
A'ou vs. Thulung,3.47948406801814
A'ou vs. Tibetan,4.61505472212977
A'ou vs. Toda,4.97940348938734
A'ou vs. Tsat,1.32304620097943
A'ou vs. Tsez,5.09969808535004
A'ou vs. Tshangla,2.9969636056021
A'ou vs. Tulu,5.36601093530593
A'ou vs. Tundra Nenets,5.0441774469631
A'ou vs. Tuvinian,5.06840357351197
A'ou vs. Udihe,5.04119509644817
A'ou vs. Uighur,5.42983043293522
A'ou vs. Vaagri Booli,5.14120911497625
A'ou vs. Vach-Vasjugan,5.02096150015275
A'ou vs. Varhadi-Nagpuri,5.21859663711032
A'ou vs. Vietnamese,2.87452707140488
A'ou vs. Waddar,5.70670370358364
A'ou vs. Wambule,3.65750260642979
A'ou vs. Wayu,3.21786259066491
A'ou vs. Welsh,4.48798691628699
A'ou vs. West Yugur,3.26007393731358
A'ou vs. Western Armenian,6.23444192092863
A'ou vs. Western Magar,5.48648610329553
A'ou vs. Western Muya,4.79229594187587
A'ou vs. Western Ong-Be,1.22253405428994
A'ou vs. Western Parbate Kham,2.79346351336021
A'ou vs. Western Puroik,3.52501557422277
A'ou vs. Western Tamang,2.08031351769725
A'ou vs. Western Xiangxi Miao,3.68651739781327
A'ou vs. Westphalic,5.20231193976923
A'ou vs. Wu Chinese,1.84969810603782
A'ou vs. Wuding-Luquan Yi,2.04682122486052
A'ou vs. Wutunhua,5.37640222229057
A'ou vs. Yakkha,3.79551092535299
A'ou vs. Yerong-Southern Buyang,2.06603627243622
A'ou vs. Yongbei Zhuang,2.23713307977255
A'ou vs. Youle Jinuo,2.23355645462463
A'ou vs. Yue Chinese,4.88933540151987
A'ou vs. Zaiwa,4.68648422156999
A'ou vs. Zauzou,2.57905268793622
A'ou vs. Zbu,5.40933632501425
A'ou vs. Zeme Naga,2.12439685929693
Akajeru vs. Akajeru,0
Akajeru vs. Amdo Tibetan,4.51485565610503
Akajeru vs. Angami Naga,3.54170678212047
Akajeru vs. Ao Naga,3.05626938657643
Akajeru vs. Archi,4.58214674328283
Akajeru vs. Aromanian,3.65080117070892
Akajeru vs. Arpitan,1.8650907912558
Akajeru vs. Arvanitika Albanian,3.17546618125876
Akajeru vs. Asho Chin,5.01625140719888
Akajeru vs. Assamese,2.29979903182434
Akajeru vs. Asturian-Leonese-Cantabrian,0.910675401005148
Akajeru vs. Atong (India),4.10141743923083
Akajeru vs. Avar,4.55976716686709
Akajeru vs. Baba Malay,4.77697490052872
Akajeru vs. Badaga,4.06030194552903
Akajeru vs. Bagvalal,4.67541906766693
Akajeru vs. Bantawa,3.34925512483693
Akajeru vs. Basque,2.67086980434764
Akajeru vs. Betta Kurumba,2.83531761678252
Akajeru vs. Bezhta,4.99154259457415
Akajeru vs. Bih,1.25152171681421
Akajeru vs. Bisu,2.82044073915907
Akajeru vs. Biyo,2.73247260910194
Akajeru vs. Bodo-Mech,4.71122942958677
Akajeru vs. Bolyu,2.59662439126787
Akajeru vs. Bonan,4.09747669264936
Akajeru vs. Budukh,4.4217237639587
Akajeru vs. Bugan,2.50803182835213
Akajeru vs. Bujhyal,2.00042913448452
Akajeru vs. Bulo Stieng,1.99066293292795
Akajeru vs. Bunan,2.8927400796077
Akajeru vs. Burmese,3.47722355706828
Akajeru vs. Burushaski,4.27680654330694
Akajeru vs. Cao Miao,2.52688407173004
Akajeru vs. Catalan,2.03537420713362
Akajeru vs. Central Bai,3.44251448468178
Akajeru vs. Central Chong,3.09948624323204
Akajeru vs. Central Hongshuihe Zhuang,2.33350257392363
Akajeru vs. Central Khmer,2.49900830929236
Akajeru vs. Chak,7.29538998064187
Akajeru vs. Chintang,4.12386332426055
Akajeru vs. Chitwania Tharu,2.37208270971502
Akajeru vs. Chong of Chanthaburi,3.43804187811686
Akajeru vs. Chothe,4.5929010626004
Akajeru vs. Chukchi,4.18452723639532
Akajeru vs. Chut,3.05348007948844
Akajeru vs. Chuvash,4.4426693354293
Akajeru vs. Cosao,2.49774664873903
Akajeru vs. Cypriot Arabic,3.6370189991696
Akajeru vs. Daai Chin,3.34374565229515
Akajeru vs. Dagur,4.10712398396076
Akajeru vs. Daman-Diu Portuguese,2.41917082229217
Akajeru vs. Dandami Maria,4.84060644176131
Akajeru vs. Danish,5.20001233310262
Akajeru vs. Daohua,3.35180726288243
Akajeru vs. Dari,1.81156266221681
Akajeru vs. Darma,4.76548550790404
Akajeru vs. Deori,4.62158271270945
Akajeru vs. Dhimal,2.51438919411099
Akajeru vs. Dhivehi,1.67283216275973
Akajeru vs. Domari,4.40346101311892
Akajeru vs. Dongxiang,4.72920139474822
Akajeru vs. Duhumbi,4.19615327889524
Akajeru vs. Dumi,2.22167620677717
Akajeru vs. Dungan,2.6514704754193
Akajeru vs. Duoluo Gelao,2.52531004748948
Akajeru vs. Dutch,2.83102391442684
Akajeru vs. Dzongkha,4.06044974862807
Akajeru vs. E,3.11848522043807
Akajeru vs. Eastern Katu,1.79484475520795
Akajeru vs. Eastern Kayah,3.74296963648124
Akajeru vs. Eastern Magar,3.82332273850013
Akajeru vs. Eastern Newari,2.40929000137421
Akajeru vs. Eastern Panjabi,3.08584326908494
Akajeru vs. Eastern Tamang,3.07042570696071
Akajeru vs. Enu,3.36927162172014
Akajeru vs. Ersu,3.7354132415143
